KEY_CODE,市区町村,年度,人口
8216,笠間市,2017年,75698
8216,笠間市,2018年,75030
8216,笠間市,2019年,74334
8216,笠間市,2020年,73173
8216,笠間市,2021年,72573
8216,笠間市,2022年,72050
8216,笠間市,2023年,71449
8217,取手市,2002年,114155
8217,取手市,2003年,113803
8217,取手市,2004年,112818
8217,取手市,2005年,111327
8217,取手市,2006年,110633
8217,取手市,2007年,110004
8217,取手市,2008年,109673
8217,取手市,2009年,109543
8217,取手市,2010年,109651
8217,取手市,2011年,108938
8217,取手市,2012年,107894
8217,取手市,2013年,107310
8217,取手市,2014年,107025
8217,取手市,2015年,106570
8217,取手市,2016年,105985
8217,取手市,2017年,105447
8217,取手市,2018年,105129
8217,取手市,2019年,104667
8217,取手市,2020年,104524
8217,取手市,2021年,103805
8217,取手市,2022年,103780
8217,取手市,2023年,103680
8219,牛久市,2002年,74829
8219,牛久市,2003年,75433
8219,牛久市,2004年,76116
8219,牛久市,2005年,77223
8219,牛久市,2006年,77843
8219,牛久市,2007年,78980
8219,牛久市,2008年,80049
8219,牛久市,2009年,80939
8219,牛久市,2010年,81684
8219,牛久市,2011年,82458
8219,牛久市,2012年,82919
8219,牛久市,2013年,83531
8219,牛久市,2014年,83952
8219,牛久市,2015年,84317
8219,牛久市,2016年,84704
8219,牛久市,2017年,84820
8219,牛久市,2018年,84785
8219,牛久市,2019年,84637
8219,牛久市,2020年,84651
8219,牛久市,2021年,84298
8219,牛久市,2022年,84057
8219,牛久市,2023年,83831
8220,つくば市,2002年,195046
8220,つくば市,2003年,196247
8220,つくば市,2004年,198176
8220,つくば市,2005年,200528
8220,つくば市,2006年,203280
8220,つくば市,2007年,206661
8220,つくば市,2008年,209411
8220,つくば市,2009年,212445
8220,つくば市,2010年,214590
8220,つくば市,2011年,215887
8220,つくば市,2012年,217315
8220,つくば市,2013年,219402
8220,つくば市,2014年,221119
8220,つくば市,2015年,226963
8220,つくば市,2016年,230398
8220,つくば市,2017年,233549
8220,つくば市,2018年,237039
8220,つくば市,2019年,240987
8220,つくば市,2020年,241656
8220,つくば市,2021年,246784
8220,つくば市,2022年,252481
8220,つくば市,2023年,255807
8221,ひたちなか市,2002年,152309
8221,ひたちなか市,2003年,152860
8221,ひたちなか市,2004年,153250
8221,ひたちなか市,2005年,153639
8221,ひたちなか市,2006年,154579
8221,ひたちなか市,2007年,155184
8221,ひたちなか市,2008年,155960
8221,ひたちなか市,2009年,156651
8221,ひたちなか市,2010年,157060
8221,ひたちなか市,2011年,157141
8221,ひたちなか市,2012年,157153
8221,ひたちなか市,2013年,156964
8221,ひたちなか市,2014年,156704
8221,ひたちなか市,2015年,155689
8221,ひたちなか市,2016年,155884
8221,ひたちなか市,2017年,155970
8221,ひたちなか市,2018年,155681
8221,ひたちなか市,2019年,155080
8221,ひたちなか市,2020年,156581
8221,ひたちなか市,2021年,155684
8221,ひたちなか市,2022年,154987
8221,ひたちなか市,2023年,154283
8222,鹿嶋市,2002年,63104
8222,鹿嶋市,2003年,63621
8222,鹿嶋市,2004年,63935
8222,鹿嶋市,2005年,64435
8222,鹿嶋市,2006年,64781
8222,鹿嶋市,2007年,65081
8222,鹿嶋市,2008年,65513
8222,鹿嶋市,2009年,65785
8222,鹿嶋市,2010年,66093
8222,鹿嶋市,2011年,66562
8222,鹿嶋市,2012年,66688
8222,鹿嶋市,2013年,66700
8222,鹿嶋市,2014年,66802
8222,鹿嶋市,2015年,67879
8222,鹿嶋市,2016年,67754
8222,鹿嶋市,2017年,67802
8222,鹿嶋市,2018年,67578
8222,鹿嶋市,2019年,67448
8222,鹿嶋市,2020年,66950
8222,鹿嶋市,2021年,66657
8222,鹿嶋市,2022年,65980
8222,鹿嶋市,2023年,65417
8223,潮来市,2002年,31886
8223,潮来市,2003年,31530
8223,潮来市,2004年,31458
8223,潮来市,2005年,31524
8223,潮来市,2006年,31280
8223,潮来市,2007年,31089
8223,潮来市,2008年,30984
8223,潮来市,2009年,30705
8223,潮来市,2010年,30534
8223,潮来市,2011年,30130
8223,潮来市,2012年,29876
8223,潮来市,2013年,29621
8223,潮来市,2014年,29249
8223,潮来市,2015年,29111
8223,潮来市,2016年,28849
8223,潮来市,2017年,28491
8223,潮来市,2018年,28227
8223,潮来市,2019年,27807
8223,潮来市,2020年,27604
8223,潮来市,2021年,27259
8223,潮来市,2022年,26868
8223,潮来市,2023年,26488
8224,守谷市,2002年,51974
8224,守谷市,2003年,52564
8224,守谷市,2004年,53180
8224,守谷市,2005年,53700
8224,守谷市,2006年,55765
8224,守谷市,2007年,57399
8224,守谷市,2008年,58861
8224,守谷市,2009年,60701
8224,守谷市,2010年,62482
8224,守谷市,2011年,62884
8224,守谷市,2012年,63279
8224,守谷市,2013年,63693
8224,守谷市,2014年,64182
8224,守谷市,2015年,64753
8224,守谷市,2016年,65560
8224,守谷市,2017年,66230
8224,守谷市,2018年,66876
8224,守谷市,2019年,67696
8224,守谷市,2020年,68421
8224,守谷市,2021年,69030
8224,守谷市,2022年,69434
8224,守谷市,2023年,69717
8225,常陸大宮市,2002年,48591
8225,常陸大宮市,2003年,48233
8225,常陸大宮市,2004年,48073
8225,常陸大宮市,2005年,47808
8225,常陸大宮市,2006年,47386
8225,常陸大宮市,2007年,46883
8225,常陸大宮市,2008年,46435
8225,常陸大宮市,2009年,45881
8225,常陸大宮市,2010年,45178
8225,常陸大宮市,2011年,44586
8225,常陸大宮市,2012年,44077
8225,常陸大宮市,2013年,43496
8225,常陸大宮市,2014年,42963
8225,常陸大宮市,2015年,42587
8225,常陸大宮市,2016年,42018
8225,常陸大宮市,2017年,41342
8225,常陸大宮市,2018年,40747
8225,常陸大宮市,2019年,39904
8225,常陸大宮市,2020年,39267
8225,常陸大宮市,2021年,38640
8225,常陸大宮市,2022年,38056
8225,常陸大宮市,2023年,37400
8226,那珂市,2002年,55484
8226,那珂市,2003年,55387
8226,那珂市,2004年,55456
8226,那珂市,2005年,54705
8226,那珂市,2006年,54614
8226,那珂市,2007年,54528
8226,那珂市,2008年,54367
8226,那珂市,2009年,54302
8226,那珂市,2010年,54240
8226,那珂市,2011年,53974
8226,那珂市,2012年,53920
8226,那珂市,2013年,53835
8226,那珂市,2014年,53754
8226,那珂市,2015年,54276
8226,那珂市,2016年,54110
8226,那珂市,2017年,53897
8226,那珂市,2018年,53585
8226,那珂市,2019年,53361
8226,那珂市,2020年,53502
8226,那珂市,2021年,53227
8226,那珂市,2022年,53004
8226,那珂市,2023年,52573
8227,筑西市,2002年,115303
8227,筑西市,2003年,114804
8227,筑西市,2004年,114124
8227,筑西市,2005年,112581
8227,筑西市,2006年,111654
8227,筑西市,2007年,111009
8227,筑西市,2008年,110079
8227,筑西市,2009年,108976
8227,筑西市,2010年,108527
8227,筑西市,2011年,107654
8227,筑西市,2012年,106835
8227,筑西市,2013年,105816
8227,筑西市,2014年,104968
8227,筑西市,2015年,104573
8227,筑西市,2016年,103788
8227,筑西市,2017年,102818
8227,筑西市,2018年,101784
8227,筑西市,2019年,100816
8227,筑西市,2020年,100753
8227,筑西市,2021年,99845
8227,筑西市,2022年,99102
8227,筑西市,2023年,98264
8228,坂東市,2002年,58161
8228,坂東市,2003年,58019
8228,坂東市,2004年,57879
8228,坂東市,2005年,57516
8228,坂東市,2006年,57262
8228,坂東市,2007年,57193
8228,坂東市,2008年,56946
8228,坂東市,2009年,56524
8228,坂東市,2010年,56114
8228,坂東市,2011年,55835
8228,坂東市,2012年,55576
8228,坂東市,2013年,55275
8228,坂東市,2014年,54762
8228,坂東市,2015年,54087
8228,坂東市,2016年,53755
8228,坂東市,2017年,53242
8228,坂東市,2018年,52559
8228,坂東市,2019年,51903
8228,坂東市,2020年,52265
8228,坂東市,2021年,51764
8228,坂東市,2022年,51401
8228,坂東市,2023年,51042
8229,稲敷市,2002年,50955
8229,稲敷市,2003年,50500
8229,稲敷市,2004年,50264
8229,稲敷市,2005年,49689
8229,稲敷市,2006年,48944
8229,稲敷市,2007年,48296
8229,稲敷市,2008年,47729
8229,稲敷市,2009年,47132
8229,稲敷市,2010年,46895
8229,稲敷市,2011年,46058
8229,稲敷市,2012年,45412
8229,稲敷市,2013年,44556
8229,稲敷市,2014年,43827
8229,稲敷市,2015年,42810
8229,稲敷市,2016年,42217
8229,稲敷市,2017年,41392
8229,稲敷市,2018年,40634
8229,稲敷市,2019年,39854
8229,稲敷市,2020年,39039
8229,稲敷市,2021年,38304
8229,稲敷市,2022年,37636
8229,稲敷市,2023年,36900
8230,かすみがうら市,2002年,45198
8230,かすみがうら市,2003年,45094
8230,かすみがうら市,2004年,45051
8230,かすみがうら市,2005年,44603
8230,かすみがうら市,2006年,44422
8230,かすみがうら市,2007年,44379
8230,かすみがうら市,2008年,44331
8230,かすみがうら市,2009年,43828
8230,かすみがうら市,2010年,43553
8230,かすみがうら市,2011年,43310
8230,かすみがうら市,2012年,43072
8230,かすみがうら市,2013年,42515
8230,かすみがうら市,2014年,42108
8230,かすみがうら市,2015年,42147
8230,かすみがうら市,2016年,41706
8230,かすみがうら市,2017年,41297
8230,かすみがうら市,2018年,41131
8230,かすみがうら市,2019年,40833
8230,かすみがうら市,2020年,40087
8230,かすみがうら市,2021年,39602
8230,かすみがうら市,2022年,39431
8230,かすみがうら市,2023年,39183
8231,桜川市,2002年,49536
8231,桜川市,2003年,49165
8231,桜川市,2004年,48992
8231,桜川市,2005年,48400
8231,桜川市,2006年,47997
8231,桜川市,2007年,47590
8231,桜川市,2008年,47058
8231,桜川市,2009年,46575
8231,桜川市,2010年,45673
8231,桜川市,2011年,45105
8231,桜川市,2012年,44449
8231,桜川市,2013年,43826
8231,桜川市,2014年,43190
8231,桜川市,2015年,42632
8231,桜川市,2016年,42000
8231,桜川市,2017年,41278
8231,桜川市,2018年,40483
8231,桜川市,2019年,39692
8231,桜川市,2020年,39122
8231,桜川市,2021年,38422
8231,桜川市,2022年,37653
8231,桜川市,2023年,36794
8232,神栖市,2002年,89795
8232,神栖市,2003年,90172
8232,神栖市,2004年,90646
8232,神栖市,2005年,91867
8232,神栖市,2006年,92506
8232,神栖市,2007年,93315
8232,神栖市,2008年,93733
8232,神栖市,2009年,94320
8232,神栖市,2010年,94795
8232,神栖市,2011年,94292
8232,神栖市,2012年,94446
8232,神栖市,2013年,94143
8232,神栖市,2014年,94135
8232,神栖市,2015年,94522
8232,神栖市,2016年,94787
8232,神栖市,2017年,95052
8232,神栖市,2018年,95200
8232,神栖市,2019年,95370
8232,神栖市,2020年,95454
8232,神栖市,2021年,95128
8232,神栖市,2022年,94661
8232,神栖市,2023年,94216
8233,行方市,2002年,41173
8233,行方市,2003年,40921
8233,行方市,2004年,40716
8233,行方市,2005年,40035
8233,行方市,2006年,39593
8233,行方市,2007年,39179
8233,行方市,2008年,38725
8233,行方市,2009年,38253
8233,行方市,2010年,37611
8233,行方市,2011年,36878
8233,行方市,2012年,36521
8233,行方市,2013年,35967
8233,行方市,2014年,35472
8233,行方市,2015年,34909
8233,行方市,2016年,34418
